Name,Title,Company,Youtube URL
Chris Powell,CMO,Commvault,https://www.youtube.com/watch?v=h1GPsSVcCMs
Gaidar Magdanurov,CMO & Chief Cyber Strategy Officer,Acronis,https://www.youtube.com/watch?v=8dzxiJ8sSKM
Mandy Dhaliwal,CMO,Boomi,https://www.youtube.com/watch?v=Q0_2N5hcBKo
Samantha Choi Cadley,CEO,Manual Labor Studio,https://www.youtube.com/watch?v=Q0_2N5hcBKo
Anna Griffin,CMO,Smartsheet,https://www.youtube.com/watch?v=LaZU2X5R6_E
Will Corkery,SVP of Sales,Boomi,https://www.youtube.com/watch?v=dlbaoqFgZOo
Calline Sanchez,Vice President,IBM Worldwide Systems Lab Services,https://www.youtube.com/watch?v=DEHUqmEwFeg
Graham Breeze,Field CTO,Tintri by DDN,https://www.youtube.com/watch?v=jejNkMxPYJ0
Mario Blandini,CMO & Chief Evangelist,Tintri by DDN,https://www.youtube.com/watch?v=jejNkMxPYJ0
Todd Forsythe,CMO,Veritas,https://www.youtube.com/watch?v=cs-eHzSaCYU
Marc Creviere,Principal Systems Engineer,US Signal,https://www.youtube.com/watch?v=dx4hSN5yyJw
Doc D’Errico,CMO,Infinidat,https://www.youtube.com/watch?v=dx4hSN5yyJw
Robin Matlock,CMO,VMware,https://www.youtube.com/watch?v=ARukuXEJk5c
Carl Eschenbach,Partner,Sequoia Capital,https://www.youtube.com/watch?v=mYMlwy8ZKuQ
Gary Conway,CMO,Automation Anywhere,https://www.youtube.com/watch?v=L2Gw7W-Tov8
Gregory Ness,CMO,Tempered Networks,https://www.youtube.com/watch?v=0Joxcd6lhic
Ryan Kam,CMO,Five9,https://www.youtube.com/watch?v=Z8UOD28pZM4
Marie Hattar,CMO,Keysight,https://www.youtube.com/watch?v=h3y6qxOC7sE
Meagen Eisenberg,CMO,TripActions,https://www.youtube.com/watch?v=xjz-NWnIeJc
Murali Nemani,CMO,ScienceLogic,https://www.youtube.com/watch?v=R45wobxqmGs
Joe Damassa,VP Strategy, Offerings - Hybrid Cloud Services,IBM,https://www.youtube.com/watch?v=R45wobxqmGs
Sally Jenkins,EVP & CMO,Informatica,https://www.youtube.com/watch?v=9jwu0Q878G0
